FirstName,LastName,DOB,Phone,Email,Address,City,State,Zip,Occupation,Preference,Phase,Approved?,Update
Nicole,Bautista,1982-11-03,867-225-1967,hmccann@gmail.com,49178 Johnny Shoal,Lake Craig,OR,97089,Horticultural consultant,cat,fostering,False,2001-07-28
Dawn,Smith,1992-04-30,778-560-6452,garciaadam@martin.biz,79512 Amber Tunnel,Lake Christopherside,OR,92905,Personal assistant,cat,adopting,True,2002-01-04
Michael,Miles,1989-08-13,147-370-4264,brianmolina@meyer.com,52237 Alejandro Loaf,Stewartfort,OR,92198,Geoscientist,dog,adopting,True,2002-09-01
Stacey,Gallegos,2003-01-31,011-338-2415,usingh@davis-foster.com,097 Rodriguez Road,Durhamview,WA,95936,"Engineer, mining",cat,fostering,False,2002-04-19
Francisco,Graham,1971-09-27,645-696-7995,qterry@ford-walters.biz,5443 Calvin Flats Suite 624,Hesterborough,CA,91718,Chartered loss adjuster,cat,adopting,True,2002-08-07
Christopher,Campos,1980-03-17,634-279-3694,santiagokevin@hotmail.com,978 Heather Views,East Jennifermouth,CA,91336,Higher education careers adviser,dog,adopting,False,2001-11-17
Fernando,Arellano,2002-03-17,073-258-7843,imartin@hansen.info,9229 James Square,South Jasonfurt,OR,96580,Comptroller,dog,fostering,False,2001-05-18
Anthony,Wilkinson,2001-11-08,167-174-8737,madison02@little.com,6118 Marquez Terrace,Thompsonstad,CA,92815,Freight forwarder,cat,adopting,False,2000-01-12
Susan,Dixon,1971-01-30,661-931-8840,upark@lee.org,2436 Richard Ways,Jenniferfort,WA,97849,Multimedia programmer,cat,fostering,True,2000-04-03
Joseph,Herrera,1982-09-27,306-308-5765,gnguyen@vasquez-rodriguez.com,1333 Robinson Ridge Apt. 854,East Thomasmouth,CA,98745,Purchasing manager,cat,fostering,False,2001-02-26
Justin,Perry,1989-03-24,568-100-3346,myersamy@walton.com,364 Ashley Station Apt. 317,Austinborough,WA,94933,Public affairs consultant,dog,adopting,False,2001-08-26
Johnathan,Nicholson,1981-02-05,677-859-2725,xolson@hotmail.com,13869 Anthony Harbor Suite 745,Halltown,WA,98440,Learning disability nurse,dog,adopting,False,2001-09-21
Janet,Peterson,1981-10-31,040-541-3251,imitchell@johnson.com,2323 Jillian Cape Suite 135,Port Kelly,OR,91730,"Clinical scientist, histocompatibility and immunogenetics",dog,fostering,True,2000-02-25
Bethany,Gonzalez,1982-02-15,749-260-9995,jacob29@hotmail.com,851 Clarence Dam Suite 349,East Shannontown,CA,95898,"Clinical scientist, histocompatibility and immunogenetics",dog,fostering,False,2001-10-30
Bradley,Martin,1992-04-19,678-536-0016,jose38@yahoo.com,850 Miles Pass,Youngton,OR,97857,Acupuncturist,dog,adopting,False,2000-03-27
Brenda,Duke,2000-03-20,976-817-7186,ismith@larson-cross.net,027 Maria Stravenue,Gouldmouth,WA,97735,Geophysicist/field seismologist,dog,adopting,False,2001-06-22
Sandra,Parsons,1999-10-14,900-322-4330,rrichard@yahoo.com,26654 Alyssa Lane Suite 403,East Tanya,WA,99402,"Designer, textile",cat,fostering,True,2000-11-06
Christy,Lee,1996-10-12,121-866-0925,waynediaz@watson.info,927 Shah Tunnel Apt. 826,Daviston,CA,98569,"Engineer, water",cat,fostering,True,2002-03-26
Douglas,Kidd,1975-09-29,153-235-2418,allennancy@johnson.biz,893 Kevin Extension Suite 728,West Melindabury,CA,98355,Administrator,cat,fostering,True,2003-05-03
Sarah,Mendoza,2001-09-26,898-664-0180,franklinbilly@ramirez.biz,188 Terrence Corner Apt. 092,Lisaberg,WA,95081,Forensic psychologist,dog,fostering,True,2002-02-08
Bruce,Warner,1989-10-03,540-300-9663,bdavis@harris-freeman.biz,45908 Wright Ridge,Port Sabrina,WA,98157,Personal assistant,cat,adopting,True,2002-04-06
Eric,Payne,1992-07-04,588-127-0376,uryan@hotmail.com,8987 Douglas Lodge,South Brittanyton,WA,97486,Energy engineer,cat,adopting,False,2002-08-06
William,Jones,1985-09-18,187-321-3968,murphylori@yahoo.com,784 Christina Lakes Suite 669,Port Danielle,OR,92668,Estate agent,cat,fostering,True,2002-12-20
Michael,Bauer,1994-01-21,808-680-9007,michaelthompson@fleming.biz,400 Eugene Falls Suite 649,East Darrell,CA,96335,"Programmer, multimedia",cat,fostering,True,2000-10-03
Keith,Zimmerman,1985-01-29,847-933-1954,jasonquinn@yahoo.com,5070 James Hill,Lake Kaitlin,CA,95096,Biomedical engineer,dog,adopting,True,2002-07-22
John,Martinez,1988-11-25,493-313-0921,stevenmassey@smith-bennett.com,207 Leonard Bypass,West Nicholas,CA,93236,Community arts worker,dog,adopting,False,2001-03-30
Allison,Wilson,1995-06-01,451-641-2682,manuel39@duncan.biz,1133 Kelly Alley,Port Nicoleberg,CA,95734,Ambulance person,cat,fostering,False,2003-07-12
Jason,Alexander,1989-08-23,746-304-4025,joseph22@randall.com,0123 Brown Knolls Suite 373,Powellmouth,CA,92937,Air broker,cat,adopting,True,2000-03-22
Crystal,Avila,1996-05-27,101-128-8918,ywillis@yahoo.com,8713 Jessica Trail,Muellerton,WA,97490,Associate Professor,cat,adopting,False,2000-10-30
Stephen,Cooley,1992-08-12,594-103-2096,christine97@gmail.com,734 Cheyenne Hills,Wallsport,WA,96451,Writer,dog,fostering,False,2001-10-10
Jeanette,Allen,1977-10-15,497-460-5903,fhouston@henderson-cunningham.com,599 Anthony Dam Suite 278,Faithfort,CA,95726,Sales executive,cat,adopting,True,2000-07-27
Ryan,Brown,1990-09-12,822-398-8070,jsimmons@gmail.com,79342 Kayla Stream,Davilaburgh,CA,94557,"Geologist, engineering",cat,adopting,True,2002-05-06
Jonathan,Hammond,2001-06-18,610-922-2533,juliasullivan@hotmail.com,305 Ann Gardens,New Robertland,CA,98240,Transport planner,dog,fostering,True,2003-02-03
Ricky,Stark,1974-12-13,424-725-6840,lopezrobin@cooper.info,693 Danielle Streets,Port Davidland,OR,96392,"Administrator, local government",cat,fostering,True,2003-02-20
Michael,Cain,1973-09-24,763-488-7691,caseyjessica@hotmail.com,3704 Peterson Station Apt. 371,Wardport,WA,93905,Television/film/video producer,cat,adopting,False,2002-01-18
Robin,Rogers,1975-03-22,866-349-7472,simpsonalexandra@gmail.com,48822 Mary Village Apt. 630,Lake Michael,WA,96169,Psychotherapist,dog,adopting,True,2000-09-06
Austin,Johnson,2000-02-09,309-201-9673,murraypatrick@yahoo.com,8690 Jessica Courts Suite 725,South Andrewchester,OR,93122,Animal nutritionist,cat,fostering,False,2001-09-17
Jonathan,Herrera,2001-09-06,250-038-9748,patrickmartinez@joseph.com,7230 Timothy Summit,Port Jesus,CA,90501,Building control surveyor,cat,fostering,True,2002-10-31
Hector,Oliver,1983-01-31,844-155-3832,ismith@yahoo.com,02698 Clinton Springs,East Meganberg,CA,91343,"Therapist, occupational",cat,adopting,True,2003-01-22
Daniel,Gomez,1996-04-22,658-628-6121,annette99@hunter.info,7652 Sanders Spur Apt. 913,Collinsmouth,WA,95226,"Therapist, art",cat,adopting,False,2000-07-13
Melinda,Collins,1987-02-08,621-995-0692,marshallmelody@hotmail.com,494 Mary Estate,Hamiltonbury,WA,97107,"Psychologist, educational",cat,adopting,True,2000-08-06
Donna,Hughes,1994-08-23,040-558-2187,whitney73@barr.info,2090 Miller Neck,Wallaceside,OR,92011,"Engineer, communications",dog,adopting,False,2001-11-15
Mark,Frye,1977-10-25,476-384-5912,gcarpenter@guzman.com,546 Sanchez Pass Apt. 480,Monicachester,WA,95431,"Lecturer, higher education",cat,adopting,True,2000-02-27
Erin,Butler,1996-08-20,133-841-8391,david21@yahoo.com,47040 Steven Plain Apt. 626,East Joseside,WA,98270,"Designer, graphic",dog,adopting,True,2003-09-12
Lance,Kidd,1982-08-16,530-547-3874,eric56@allison.com,264 Davis Views,East Calebhaven,CA,96381,Chartered legal executive (England and Wales),cat,fostering,False,2003-08-11
Stacy,Ortiz,1994-06-16,762-156-1196,martinhall@shelton.info,410 Loretta Stream Suite 845,West Shawn,OR,92043,"Engineer, land",dog,adopting,True,2002-05-28
Angela,Hood,1976-11-21,129-445-5952,seansims@hotmail.com,434 Benitez Spurs Suite 640,Martinberg,CA,93285,Travel agency manager,dog,adopting,False,2001-07-21
William,Thomas,1993-09-26,573-898-1730,youngdavid@wheeler-cummings.net,43166 Thomas Forks Suite 092,Angelaland,CA,97782,IT sales professional,cat,adopting,False,2002-12-17
Mary,Smith,1971-09-19,557-542-4745,troyevans@fuller.com,73944 Morgan Locks Suite 893,North Ashley,WA,96840,Midwife,cat,fostering,True,2001-08-17
Jeffrey,Gutierrez,1990-08-15,217-601-3082,lisa27@gmail.com,43054 Tiffany Isle,Casemouth,OR,94844,Public relations account executive,dog,adopting,True,2000-07-18
Bradley,Butler,1990-12-19,909-033-2792,cuevassheila@mcdonald-tate.info,323 Brittany Spur Suite 191,Garciamouth,CA,98262,"Therapist, nutritional",dog,fostering,True,2000-01-16
Jamie,Smith,1978-11-26,027-041-5525,rodriguezjohn@snyder.net,3458 Rodriguez Ways Suite 594,Jessicamouth,WA,94247,Medical laboratory scientific officer,dog,fostering,True,2000-05-16
Gabriel,Terrell,1999-09-27,185-955-9126,christopher18@gmail.com,5298 Ernest Harbors Apt. 427,East Christine,OR,91657,Teaching laboratory technician,cat,adopting,False,2000-03-15
Kelly,Aguilar,1993-01-30,536-328-9005,brianwagner@gmail.com,10318 Shaw Way Suite 628,Lake Charleshaven,CA,94706,"Teacher, primary school",dog,fostering,False,2000-09-20
Joshua,Chavez,1988-12-28,555-977-6683,janetcaldwell@yahoo.com,80758 Jason Plains Apt. 547,South Dennismouth,OR,96390,Comptroller,dog,fostering,False,2002-05-01
Alec,Adkins,1974-09-13,273-443-5142,david12@singleton.com,237 Eric Unions,West Sharonside,WA,96373,Chief Strategy Officer,cat,fostering,False,2003-11-05
Brandon,Taylor,1995-02-07,139-101-4145,stevenlowery@hotmail.com,86554 Hubbard Points Apt. 522,New Mindy,CA,93956,"Programme researcher, broadcasting/film/video",cat,fostering,True,2002-10-04
Rebecca,Lee,1980-06-03,131-372-7704,mharrison@cole.com,6549 Miller Mount,Gonzalezhaven,OR,98353,Dentist,dog,adopting,True,2000-09-12
Jeremy,Adams,1989-12-02,013-021-9290,erika57@yahoo.com,27242 Jason Canyon Apt. 222,West Carla,WA,95322,"Accountant, chartered public finance",dog,fostering,False,2000-08-29
Kelly,Pearson,1971-12-30,952-430-9469,kevinsmith@yahoo.com,4616 Coleman Expressway Suite 290,Kennethmouth,WA,92518,Media planner,dog,fostering,True,2001-01-06
Luis,Elliott,1991-02-07,972-474-3938,christopher13@hotmail.com,114 Horton Glens Suite 148,East Scottside,CA,90345,Barrister's clerk,dog,adopting,False,2000-07-18
Jane,Diaz,1979-11-07,131-962-0161,jennifer80@palmer.com,65670 Hawkins Dale Apt. 071,Lake Jennifer,OR,93823,Investment analyst,dog,adopting,False,2000-12-07
Melissa,Turner,1992-01-31,791-998-0237,zoegutierrez@morales.net,6746 Conner Station Apt. 944,Carrilloton,WA,91672,Airline pilot,cat,adopting,False,2002-02-13
Alexander,Mejia,1977-08-07,818-636-6071,kathryn64@gmail.com,386 Laura Junction,New Rose,WA,97573,Broadcast journalist,dog,fostering,True,2003-12-09
Daniel,Carrillo,2000-08-23,289-292-3104,cody87@rogers.net,612 Moody Brook,Jeanberg,WA,97895,"Surveyor, minerals",dog,fostering,True,2001-02-25
Charles,Rodriguez,1989-12-06,410-143-4510,dustinedwards@gmail.com,103 Richard Springs,North Edwardtown,CA,95568,Site engineer,dog,fostering,False,2001-06-03
Jennifer,Collins,1983-06-01,579-126-0386,stewartmichael@moore.info,198 Young Coves Apt. 470,Whiteville,WA,94886,"Conservator, furniture",cat,fostering,True,2002-02-07
Edward,Tucker,1981-11-08,381-602-1422,eatonlawrence@price-jackson.com,9610 Summer Alley Suite 647,Coxstad,CA,98167,Clinical cytogeneticist,cat,fostering,False,2000-06-18
Charles,Herman,2001-12-06,745-000-8456,tmiller@gmail.com,9938 Cody Heights,Lake Robert,OR,97273,Theatre director,cat,fostering,False,2001-08-13
Ronald,Brown,1974-04-18,791-583-7444,manuel03@moore-rodriguez.com,59179 Morton Spur,Raymondchester,WA,92662,Research scientist (physical sciences),cat,fostering,True,2002-08-07
Joshua,Baker,1982-04-28,454-163-6381,robertwest@gmail.com,56042 Bowen Falls Apt. 909,Lake Shaunborough,CA,94652,Archivist,cat,fostering,False,2000-01-23
Edward,Smith,1978-08-09,856-741-6936,todd16@merritt.org,72394 David Rapid,Stevenburgh,OR,91942,Biomedical engineer,cat,fostering,True,2001-11-28
Katie,Cunningham,1970-05-17,535-036-7623,greenjason@cunningham-gregory.com,92244 Smith Lane Apt. 765,Guerrerohaven,CA,94917,Advertising account planner,cat,fostering,True,2000-09-28
Renee,Williams,1981-10-17,397-915-0880,michaelmclaughlin@yahoo.com,8846 Hall Key Suite 579,North Robert,WA,97511,Geographical information systems officer,dog,adopting,True,2003-01-28
Michael,Padilla,1972-05-28,526-181-1573,walkermichele@gmail.com,78612 Little Branch,North Jeffreymouth,CA,96819,Environmental education officer,cat,adopting,True,2002-10-07
Kendra,Walker,1996-05-08,061-545-6939,inelson@gmail.com,9293 Lawson Mews Suite 771,Barneston,CA,96271,Advice worker,cat,fostering,False,2003-08-20
Rachel,Adams,1972-09-09,339-772-9520,juan67@yahoo.com,7610 Kelly Centers,New Taylor,OR,98689,Insurance broker,dog,fostering,False,2001-10-23
Randy,Cochran,1982-02-09,272-663-8196,xflores@gmail.com,4778 Miguel Cove Suite 512,Davidshire,WA,93246,Psychiatric nurse,dog,adopting,True,2003-09-04
Phillip,Hill,2000-07-20,492-701-0790,jimenezheather@yahoo.com,290 Benjamin Circle,East Joshuaview,WA,90704,"Engineer, structural",cat,adopting,False,2002-11-20
Warren,Flynn,1996-04-13,188-058-3911,bentleydaniel@kelly-jones.biz,769 Kristin Station Apt. 782,Mooreburgh,WA,99351,"Pharmacist, community",cat,fostering,False,2003-04-08
Morgan,Morrow,1992-09-26,119-906-2071,michael89@davis.com,085 Ashley Harbors Apt. 435,Fordchester,OR,98308,Estate manager/land agent,dog,adopting,True,2002-04-11
Jeffery,Ferguson,1991-03-27,936-348-1967,maldonadobrandon@hotmail.com,89586 Taylor Tunnel Apt. 197,New Deannatown,OR,95566,Manufacturing engineer,dog,adopting,False,2001-10-08
Manuel,Armstrong,1985-07-27,753-091-9036,melissa99@flores-harrison.com,63975 Mendoza Inlet Suite 613,Mahoneymouth,CA,96579,Wellsite geologist,dog,fostering,False,2003-08-28
Megan,Anderson,1996-03-23,036-354-5885,davidbutler@yahoo.com,831 Pena Keys,Meghanchester,CA,96115,Ranger/warden,cat,fostering,False,2003-11-23
Luke,Ayala,1973-05-28,766-729-5655,oguzman@logan.net,350 Hurst Drive,Port Kevin,OR,91983,Sub,dog,fostering,True,2002-10-11
Dawn,Johnson,1996-04-23,111-534-8568,orodgers@smith.com,6980 Taylor Manors,Douglasbury,WA,90651,IT consultant,dog,fostering,True,2000-06-16
Brian,Garrett,1984-10-07,555-695-5801,walkerhannah@lyons.com,432 Smith Throughway Suite 833,Schwartzmouth,CA,96632,Office manager,cat,fostering,True,2002-08-16
Kimberly,Mayer,1984-09-07,088-116-8029,olsonjaime@vasquez.com,870 Alex Corner Suite 647,Codyport,CA,92245,"Engineer, aeronautical",cat,adopting,True,2000-06-06
Christopher,Santiago,1980-11-24,327-443-4727,lbright@fitzpatrick.com,25934 Steven Wall,North Robinmouth,OR,94975,Astronomer,cat,fostering,False,2003-10-18
Stephanie,Francis,1974-03-17,831-536-1860,elizabethgamble@yahoo.com,182 Christopher Locks,Andersenport,WA,94412,"Designer, textile",dog,adopting,True,2000-01-30
Ralph,Rivas,1989-04-24,491-987-3628,jamie47@yahoo.com,617 Charles Port,West Emma,CA,92129,"Buyer, industrial",cat,fostering,True,2000-09-23
Christy,Zuniga,1982-09-04,393-211-3793,jonesjulia@davis-quinn.com,844 Joanna Courts Suite 489,Fosterland,OR,93220,Chemical engineer,cat,fostering,True,2003-12-30
Angela,Turner,1984-12-29,906-817-8039,gary76@hotmail.com,145 Mark Corners,East Victoriastad,OR,99108,Solicitor,dog,fostering,True,2003-12-23
Mary,Campos,2000-10-30,730-717-0610,davidstephen@burgess.com,32945 Townsend Greens Apt. 807,Lisaburgh,OR,94872,Location manager,cat,fostering,False,2003-11-14
Alexander,Peterson,1997-06-27,323-455-7085,christopher36@gmail.com,144 Hamilton Cliff,South Adam,WA,91655,Building services engineer,dog,adopting,False,2000-12-11
Kara,Lopez,1989-09-29,756-087-6623,jenna40@yahoo.com,36001 Guzman Terrace,Wangbury,OR,95162,"Engineer, communications",dog,fostering,True,2003-05-24
Jade,Malone,2003-12-14,974-778-9926,tararamirez@monroe-higgins.net,252 Stephanie Run Apt. 841,Hernandezton,OR,97394,Software engineer,cat,fostering,False,2000-05-02
Kathleen,Mullins,1993-01-06,781-651-2989,jamie14@williams.biz,228 Sarah Shore Suite 620,Chadborough,OR,94073,Quality manager,dog,fostering,True,2000-07-21
James,Giles,1974-01-08,132-435-1881,kbutler@norman-garrett.com,04193 Mark Lights,North Davidfurt,OR,97189,Haematologist,cat,adopting,True,2000-07-01
Valerie,Moore,1975-12-09,307-389-2181,jonathanbeck@yahoo.com,31928 Daisy Orchard,Patriciaview,OR,95850,Sports administrator,cat,adopting,False,2001-08-16
Paul,Ford,1980-04-22,108-224-7515,latoyaortiz@brown-gonzalez.com,8870 Hart Plain,Watsonburgh,CA,95526,Equities trader,cat,fostering,True,2003-08-15
Ronald,Hernandez,1993-12-24,866-743-9670,pamela19@vargas.com,70299 Hinton Skyway,Michelleview,WA,98147,Investment analyst,cat,adopting,False,2000-04-28
David,Murray,1992-11-25,084-089-3651,ashley97@yahoo.com,515 Brent Lights Apt. 816,North Jessemouth,OR,90604,Museum education officer,cat,adopting,False,2003-03-03
Justin,Hall,1973-11-01,085-766-2875,zcunningham@rodriguez-raymond.com,16989 Tina Fall,Michaelport,CA,92627,Systems developer,cat,adopting,False,2003-12-16
Joanna,Case,1999-05-23,887-641-9093,weissann@murray-oliver.com,0673 John Knolls Apt. 826,New John,OR,91703,Psychiatric nurse,dog,adopting,False,2002-07-03
Alexis,Carter,1975-04-20,249-408-3547,nicole74@reed.org,69540 Hobbs Port,Janicechester,WA,92178,"Nurse, mental health",cat,adopting,False,2000-05-06
Keith,Howard,1978-10-30,169-005-6270,john46@hotmail.com,79689 Martin Forest Apt. 699,West Joseph,CA,92106,Operations geologist,cat,fostering,True,2003-08-11
Todd,Lee,1973-12-22,214-437-8637,david71@gmail.com,0550 Lee Dale,New Shawnville,CA,98274,Optometrist,cat,adopting,False,2002-09-29
Troy,Lindsey,1986-11-17,790-400-0303,cindy55@walker.net,95499 James View Apt. 837,Bryanside,OR,97361,Financial risk analyst,dog,adopting,True,2003-05-29
Jaclyn,Daniels,1979-05-03,342-599-4621,mstokes@anderson-bradley.org,742 Amy Shoals,Veronicabury,WA,94983,"Runner, broadcasting/film/video",cat,fostering,False,2002-05-07
Andrew,Burke,1977-12-21,962-801-4672,carrillokristen@gmail.com,989 Moss Square,North Tracyburgh,OR,96367,Volunteer coordinator,dog,adopting,False,2002-05-09
Elizabeth,Williams,1996-04-20,076-375-7840,tiffany58@wright.com,7790 Hunter Estates Apt. 566,Lake Kevinchester,OR,99334,Claims inspector/assessor,cat,fostering,True,2000-10-09
Stephanie,Mayo,1971-04-12,952-583-9041,dennis37@yahoo.com,2827 Compton Shores Suite 099,Angelamouth,OR,94499,Technical author,dog,fostering,True,2000-09-21
Jason,Harris,1996-12-21,942-124-5043,jessicasmith@kim.biz,3718 Sarah Branch,Perezbury,WA,96555,Associate Professor,dog,fostering,False,2002-12-24
Vickie,Padilla,1999-09-06,887-706-6902,wmclean@maldonado.com,0667 Coleman Avenue Suite 340,Stanleyside,OR,93970,Patent attorney,dog,adopting,True,2001-09-26
Kristin,Suarez,1976-03-26,492-972-1497,brobertson@dennis.net,460 Ryan Dale Suite 296,Port Emilystad,CA,96436,Geoscientist,cat,fostering,False,2000-09-12
Nicholas,Hodges,1993-09-25,266-380-7577,brianrose@gmail.com,204 Brittany Valley Suite 630,Markton,CA,97569,Barrister,dog,fostering,False,2000-01-04
Sara,Shea,1972-07-26,914-492-6154,kristin35@hotmail.com,611 Andrade Roads Apt. 537,Jenniferburgh,OR,96078,Psychiatric nurse,dog,adopting,False,2002-02-01
Brent,Bradley,2000-07-02,678-698-4407,lindsey82@yahoo.com,3005 Barker Pine Suite 156,Kevinport,OR,97929,Commissioning editor,dog,adopting,False,2001-11-06
Marc,Webb,1983-03-11,183-092-0487,rosealexander@yahoo.com,3634 Rachel Crossing,Harrisonton,WA,96451,Telecommunications researcher,dog,fostering,True,2000-08-27
Amber,Marsh,1971-02-09,369-064-2421,benjamin98@williams.com,14604 Daniel Tunnel,Alexanderhaven,CA,93954,IT sales professional,dog,fostering,False,2003-03-06
Sara,Johnson,2000-11-23,812-023-7727,tanyadaniels@yahoo.com,922 James Views Apt. 737,West Danielborough,OR,98057,Herpetologist,dog,adopting,True,2001-03-04
Keith,Smith,1993-04-16,431-050-8987,michael02@bradford.info,3307 Benjamin Islands,Danielstown,CA,98350,Financial planner,dog,fostering,False,2003-11-20
Pamela,Thompson,1994-02-16,306-296-8176,ukelley@gmail.com,5111 Dominique Lane,Sherichester,WA,92766,Armed forces training and education officer,cat,fostering,False,2002-12-06
Brent,Mcclure,1987-02-25,501-271-4158,stephanie07@white.biz,6279 Christopher Shoal Suite 180,Lake Toddborough,OR,92221,Fine artist,dog,adopting,True,2001-12-09
Joshua,Washington,1979-03-08,600-714-1256,leemark@gmail.com,51543 Miller Mount,East Jasonborough,OR,96286,"Engineer, materials",cat,fostering,False,2001-10-26
Angela,Brown,1970-05-05,738-598-9451,david83@green-jenkins.org,3371 Brady Trace,Alyssaton,WA,95715,Bookseller,dog,fostering,True,2001-04-17
Jeffrey,Berry,1994-03-12,877-799-8890,nicoleharding@cross-juarez.info,3648 Jaclyn Streets,Charlesborough,OR,90028,"Engineer, electrical",cat,fostering,True,2000-10-01
Krystal,Hernandez,1985-02-08,807-797-3146,jameskelley@gmail.com,03049 David Courts,Johnsonfort,OR,94285,Broadcast presenter,dog,fostering,True,2000-12-11
Rebecca,Smith,1975-01-31,117-256-5492,blewis@hotmail.com,36026 Johnson Crossing,West Connor,OR,96267,Air traffic controller,cat,fostering,False,2000-12-08
James,Thompson,2002-01-24,764-387-8701,carrie78@bruce.com,112 Obrien Loop Suite 236,Williamsland,OR,94514,Retail banker,cat,adopting,False,2000-09-05
Grace,Phelps,1970-12-09,236-705-2522,mcclainelizabeth@shaw.org,67178 Richard Coves,Allenville,WA,93526,Occupational psychologist,cat,fostering,False,2002-12-10
Victoria,Patrick,1980-09-03,001-813-3714,pricebrandon@gmail.com,916 Tracy Stream,Hannahfort,CA,99329,Musician,cat,adopting,False,2002-06-10
Hannah,Norris,1993-04-01,497-167-9609,jasonanderson@yahoo.com,0426 Flynn Junctions,Lindsaybury,CA,94118,"Nurse, adult",cat,fostering,False,2001-10-12
Brittany,Mckenzie,1984-01-15,449-246-6455,jwade@hotmail.com,956 Vincent Mission Suite 182,East Anthonybury,OR,98536,Building surveyor,dog,adopting,True,2001-05-07
Christopher,Villarreal,1979-08-12,656-000-2756,wheelersara@scott.net,5124 Conley Key Suite 632,Moralesstad,OR,97720,Horticultural therapist,dog,fostering,False,2003-03-10
Bruce,Mora,2002-12-30,920-679-6433,jasonthornton@smith-parker.com,976 Steven Prairie Apt. 760,Jasonfort,WA,90216,"Nurse, children's",dog,fostering,True,2003-07-31
Anthony,Parks,1993-01-03,846-041-2909,abbottbrandon@nicholson-sanders.com,34678 Dalton Glen Apt. 396,Johnstonstad,WA,90679,Building surveyor,cat,fostering,True,2001-06-15
Tara,Rodriguez,2003-09-07,972-355-6341,angelaavila@tucker.com,1885 Hansen Port,West Kentton,CA,91642,"Producer, radio",cat,adopting,True,2000-01-31
Kimberly,Velazquez,1973-03-05,745-795-0986,leonamanda@tran.com,84635 Adam Light,Brianberg,CA,99449,"Production assistant, radio",dog,fostering,True,2002-07-18
Jacob,Foster,2000-07-12,978-983-7763,ofrench@davis-carter.com,9699 David Locks,Port Michellefort,OR,97149,"Pilot, airline",cat,adopting,False,2003-12-25
Ashley,Mckee,1981-10-10,467-454-1836,amandamorgan@day.com,10215 Beverly Mount,Port Samantha,OR,97971,Contractor,dog,adopting,False,2001-12-12
John,Ruiz,1986-07-10,155-101-7339,toddmorrison@harris.com,9303 Timothy Rue Apt. 586,Shawnborough,OR,90098,Technical author,cat,adopting,True,2001-03-29
Maria,Clayton,1980-03-15,031-779-6070,sarahflores@mccall-aguilar.com,013 Cantu Vista Suite 890,West Johnton,OR,97244,Publishing copy,dog,adopting,True,2001-11-11
John,Haynes,1989-08-26,317-431-9597,andersondaniel@yahoo.com,756 Ellis Mountain,Nancyborough,OR,98938,Immigration officer,cat,fostering,True,2002-11-16
Cheyenne,Smith,1995-05-29,572-096-3414,clittle@gmail.com,0271 Bradley Plaza,Tonyborough,OR,90037,"Teacher, adult education",cat,adopting,False,2000-08-25
Tabitha,Williamson,1999-12-06,550-209-9865,richard68@jackson.com,2060 Michael Mountains Apt. 825,Elizabethbury,CA,93269,Herbalist,cat,adopting,True,2003-02-03
Wendy,Navarro,1990-10-28,772-054-5560,imorgan@hotmail.com,1406 Roberts Expressway Apt. 910,Port Thomas,OR,98698,Product designer,cat,adopting,False,2000-03-27
Christopher,West,2003-04-26,124-199-2242,jessica25@rogers.com,7409 Yates Tunnel Suite 566,Port Richard,OR,90000,Illustrator,cat,adopting,True,2000-12-02
David,Leach,1996-10-26,786-258-4658,daviskathleen@mills-nguyen.com,36008 Jesse Harbors,Stevenchester,WA,98146,Careers adviser,dog,adopting,True,2001-04-06
Andrew,Jordan,1974-01-20,248-008-1667,qmaddox@hunt-herrera.net,7235 Price Mill,East Alan,OR,90261,"Sales professional, IT",dog,fostering,True,2001-06-25
Aaron,Moore,1980-03-21,253-782-3942,cpatterson@hotmail.com,4262 Hurley Union,Rachelland,OR,95837,Database administrator,cat,adopting,True,2001-03-15
Thomas,Morris,1987-05-29,317-129-5495,dclark@gmail.com,917 Perez Neck,Kingview,WA,95934,Medical physicist,cat,adopting,True,2002-10-07
Cindy,Reid,1992-01-10,669-483-7145,johnwilliams@hotmail.com,654 Tyler Glens Apt. 924,Aliciafurt,OR,93641,"Horticulturist, commercial",dog,adopting,True,2001-08-13
Jacqueline,Maynard,1995-09-19,806-140-1988,clairebaker@mcdonald.com,692 Lindsey River,North Matthewstad,WA,99002,Energy manager,cat,fostering,False,2001-03-28
Robin,Walker,1984-09-10,843-195-8679,andrewcampbell@hotmail.com,0119 Gail Keys Apt. 312,Blackmouth,WA,93739,"Programmer, multimedia",dog,adopting,True,2002-03-09
Douglas,Cohen,1980-07-22,739-404-2026,cadams@hotmail.com,32607 Reed Crossing Suite 069,South Richardstad,OR,91658,"Engineer, electronics",dog,adopting,False,2000-06-01
Travis,Bowman,1990-10-12,708-050-1618,tinacox@hotmail.com,97018 Cummings Burg Suite 197,Port Nicholasside,OR,95714,Accounting technician,cat,fostering,False,2001-12-16
Andrew,Armstrong,1991-09-09,807-211-4170,monica42@rogers-york.biz,648 Reyes Row Apt. 107,Grossland,OR,90524,Chief Strategy Officer,dog,fostering,False,2003-10-31
Elizabeth,Hill,1971-12-19,044-165-4198,anthonyfrancis@bradford-juarez.com,41010 Judith Harbors Suite 677,Robertfort,OR,97450,"Conservator, museum/gallery",dog,fostering,False,2001-01-08
William,Wilson,2001-02-03,651-779-9507,kristy58@gmail.com,092 Reyes Crossing,New Alisonborough,OR,92655,Art therapist,dog,fostering,True,2003-06-19
